# 種別	ブランド	名前	カラーコード	CV
# 種別: brand / idol / unit
brand	765as	765PRO ALLSTARS	#F34F6D	
brand	cg	シンデレラガールズ	#2681C8	
brand	ml	ミリオンライブ！	#FFC30B	
brand	sm	SideM	#0FBE94	
brand	sc	シャイニーカラーズ	#8DBBFF	
brand	gk	学園アイドルマスター	#F39800	
brand	valiv	vα-liv	#656A75	
brand	crossover	越境	#FF74B8	
idol	765as	天海春香	#E22B30	中村繪里子
idol	765as	如月千早	#2743D2	今井麻美
idol	765as	萩原雪歩	#D3DDE9	浅倉杏美
idol	765as	高槻やよい	#F39939	仁後真耶子
idol	765as	秋月律子	#01A860	若林直美
idol	765as	三浦あずさ	#9238BE	たかはし智秋
idol	765as	水瀬伊織	#FD99E1	釘宮理恵
idol	765as	菊地真	#515558	平田宏美
idol	765as	双海亜美	#FFE43F	下田麻美
idol	765as	双海真美	#FFE43F	下田麻美
idol	765as	星井美希	#B4E04B	長谷川明子
idol	765as	我那覇響	#01ADB9	沼倉愛美
idol	765as	四条貴音	#A6126A	原由実
idol	765as	音無小鳥	#FFF98E	滝田樹里
idol	961	玲音	#512AA3	茅原実里
idol	961	詩花	#E6F9E5	高橋李依
idol	961	亜夜		日高里菜
idol	other	奥空心白	#FEFAD4	田中あいみ
idol	ml	伊吹翼	#FED552	Machico
idol	ml	エミリー スチュアート	#554171	郁原ゆう
idol	ml	大神環	#EE762E	稲川英里
idol	ml	春日未来	#EA5B76	山崎はるか
idol	ml	北上麗花	#6BB6B0	平山笑美
idol	ml	北沢志保	#AFA690	雨宮天
idol	ml	木下ひなた	#D1342C	田村奈央
idol	ml	高坂海美	#E9739B	上田麗奈
idol	ml	桜守歌織	#274079	香里有佐
idol	ml	佐竹美奈子	#58A6DC	大関英里
idol	ml	篠宮可憐	#B63B40	近藤唯
idol	ml	島原エレナ	#9BCE92	角元明日香
idol	ml	ジュリア	#D7385F	愛美
idol	ml	白石紬	#EBE1FF	南早紀
idol	ml	周防桃子	#EFB864	渡部恵子
idol	ml	高山紗代子	#7F6575	駒形友梨
idol	ml	田中琴葉	#92CFBB	種田梨沙
idol	ml	天空橋朋花	#BEE3E3	小岩井ことり
idol	ml	徳川まつり	#5ABFB7	諏訪彩花
idol	ml	所恵美	#454341	藤井ゆきよ
idol	ml	豊川風花	#7278A8	末柄里恵
idol	ml	中谷育	#F7E78E	原嶋あかり
idol	ml	永吉昴	#AEB49C	斉藤佑圭
idol	ml	七尾百合子	#C7B83C	伊藤美来
idol	ml	二階堂千鶴	#F19557	野村香菜子
idol	ml	野々原茜	#EB613F	小笠原早紀
idol	ml	箱崎星梨花	#ED90BA	麻倉もも
idol	ml	馬場このみ	#F1BECB	髙橋ミナミ
idol	ml	福田のり子	#ECEB70	浜崎奈々
idol	ml	舞浜歩	#E25A9B	戸田めぐみ
idol	ml	真壁瑞希	#99B7DC	阿部里果
idol	ml	松田亜利沙	#B54461	村川梨衣
idol	ml	宮尾美也	#D7A96B	桐谷蝶々
idol	ml	最上静香	#6495CF	田所あずさ
idol	ml	望月杏奈	#7E6CA8	夏川椎菜
idol	ml	百瀬莉緒	#F19591	山口立花子
idol	ml	矢吹可奈	#F5AD3B	木戸衣吹
idol	ml	横山奈緒	#788BC5	渡部優衣
idol	ml	ロコ	#FFF03C	中村温姫
idol	gk	花海咲季	#E30F25	長月あおい
idol	gk	月村手毬	#0C7BBB	小鹿なお
idol	gk	藤田ことね	#F8C112	飯田ヒカル
idol	gk	有村麻央	#7F1184	七瀬つむぎ
idol	gk	葛城リーリヤ	#EAFDFF	花岩香奈
idol	gk	倉本千奈	#F68B1F	伊藤舞音
idol	gk	紫雲清夏	#7CFC00	湊みや
idol	gk	篠澤広	#00AFCC	川村玲奈
idol	gk	姫崎莉波	#F6ADC6	薄井友里
idol	gk	花海佑芽	#EA533A	松田彩音
idol	gk	秦谷美鈴	#7A99CF	春咲暖
idol	gk	十王星南	#F6AE54	陽高真白
idol	gk	雨夜燕	#7B68EE	天音ゆかり
idol	gk	真城優	#F0F8FF	村田綾香
idol	876	日高愛	#E85786	戸松遥
idol	876	水谷絵理	#00ADB9	花澤香菜
idol	876	秋月涼	#B2D468	三瓶由布子
idol	valiv	灯里愛夏	#FF4554	
idol	valiv	上水流宇宙	#56CCF2	
idol	valiv	レトラ	#D7F930	
idol	sc	櫻木真乃	#FFBAD6	関根瞳
idol	sc	風野灯織	#144384	近藤玲奈
idol	sc	八宮めぐる	#FFE012	峯田茉優
idol	sc	月岡恋鐘	#F84CAD	礒部花凜
idol	sc	田中摩美々	#A846FB	菅沼千紗
idol	sc	白瀬咲耶	#006047	八巻アンナ
idol	sc	三峰結華	#3B91C4	希水しお
idol	sc	幽谷霧子	#D9F2FF	結名美月
idol	sc	小宮果穂	#E5461C	河野ひより
idol	sc	園田智代子	#F93B90	白石晴香
idol	sc	西城樹里	#FFC602	永井真里子
idol	sc	杜野凛世	#89C3EB	丸岡和佳奈
