idol_id,name,name_kana,name_en,brand_id,color,cv_name,unit_primary,alias,is_active,verified,notes
765as_ami,双海亜美,ふたみあみ,Ami Futami,765as,#FFE43F,下田麻美,,亜美,true,true,
765as_azusa,三浦あずさ,みうらあずさ,Azusa Miura,765as,#9238BE,たかはし智秋,,あずさ,true,true,
765as_chihaya,如月千早,きさらぎちはや,Chihaya Kisaragi,765as,#2743D2,今井麻美,,千早,true,true,
765as_haruka,天海春香,あまみはるか,Haruka Amami,765as,#E22B30,中村繪里子,,春香,true,true,
765as_hibiki,我那覇響,がなはひびき,Hibiki Ganaha,765as,#01ADB9,沼倉愛美,,響,true,true,
765as_iori,水瀬伊織,みなせいおり,Iori Minase,765as,#FD99E1,釘宮理恵,,伊織,true,true,
765as_kotori,音無小鳥,おとなしことり,Kotori Otonashi,765as,#FFF98E,滝田樹里,,事務員;小鳥,true,true,事務員だが歌唱曲あり
765as_makoto,菊地真,きくちまこと,Makoto Kikuchi,765as,#515558,平田宏美,,真,true,true,
765as_mami,双海真美,ふたみまみ,Mami Futami,765as,#FFE43F,下田麻美,,真美,true,true,
765as_miki,星井美希,ほしいみき,Miki Hoshii,765as,#B4E04B,長谷川明子,,美希,true,true,
765as_ritsuko,秋月律子,あきづきりつこ,Ritsuko Akizuki,765as,#01A860,若林直美,,律子,true,true,
765as_takane,四条貴音,しじょうたかね,Takane Shijou,765as,#A6126A,原由実,,貴音,true,true,
765as_yayoi,高槻やよい,たかつきやよい,Yayoi Takatsuki,765as,#F39939,仁後真耶子,,やよい,true,true,
765as_yukiho,萩原雪歩,はぎわらゆきほ,Yukiho Hagiwara,765as,#D3DDE9,浅倉杏美,,雪歩,true,true,
876_ai,日高愛,ひだかあい,,876,#E85786,戸松遥,,愛,true,true,
876_eri,水谷絵理,みずたにえり,,876,#00ADB9,花澤香菜,,絵理,true,true,
876_ryo,秋月涼,あきづきりょう,,876,,三瓶由布子,,,true,false,秋月涼は876→315へ移籍(sm_ryo と同一人物)
961_aya,亜夜,あや,,961,,日高里菜,,,true,false,
961_leon,玲音,れおん,,961,#512AA3,茅原実里,,,true,true,CV未確認
961_shika,詩花,しいか,,961,#E6F9E5,高橋李依,,,true,true,CV未確認
cg_aiko,高森藍子,たかもりあいこ,,cg,#CDEA80,金子有希,,藍子,true,true,
cg_airi,十時愛梨,ととときあいり,,cg,#DF4661,原田ひとみ,,愛梨,true,true,
cg_anastasia,アナスタシア,あなすたしあ,,cg,#B1C9E8,上坂すみれ,,,true,true,
cg_anzu,双葉杏,ふたばあんず,,cg,#F8A3BC,五十嵐裕美,,杏,true,true,
cg_arisu,橘ありす,たちばなありす,,cg,#5C88DA,佐藤亜美菜,,ありす,true,true,
cg_asuka,二宮飛鳥,にのみやあすか,,cg,#5F259F,青木志貴,,飛鳥,true,true,
cg_chieri,緒方智絵里,おがたちえり,,cg,#6CC24A,大空直美,,智絵里,true,true,
cg_frederica,宮本フレデリカ,みやもとふれでりか,,cg,#A20067,髙野麻美,,フレデリカ,true,true,
cg_fumika,鷺沢文香,さぎさわふみか,,cg,#606EB2,M・A・O,,文香,true,true,
cg_hijiri,望月聖,もちづきひじり,,cg,#B7DDE1,原涼子,,聖,true,true,
cg_hotaru,白菊ほたる,しらぎくほたる,,cg,#C964CF,天野聡美,,ほたる,true,true,
