live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20090517_765as_4th_nagoya,1,main,s_theidolmster,765as_haruka;765as_chihaya;765as_yayoi;765as_miki;765as_takane;765as_hibiki,,false,,,,
20090517_765as_4th_nagoya,2,main,s_765as_0sjai7d,765as_haruka,,false,,,,
20090517_765as_4th_nagoya,3,main,s_765as_1ewun46,765as_yayoi,,false,,,,
20090517_765as_4th_nagoya,4,main,s_iwant,765as_haruka,,false,,,,
20090517_765as_4th_nagoya,5,main,s_765as_0e62b1l,765as_yayoi,,false,,,,
20090517_765as_4th_nagoya,6,main,s_gomyway,765as_haruka;765as_yayoi,,false,,,,
20090517_765as_4th_nagoya,7,main,s_765as_0za1sbd,765as_takane,,false,,,,
20090517_765as_4th_nagoya,8,main,s_765as_0cs3uhv,765as_miki,,false,,,,
20090517_765as_4th_nagoya,9,main,s_mybestfriend,765as_takane,,false,,,,
20090517_765as_4th_nagoya,10,main,s_765as_01mbphu,765as_miki,,false,,,,
20090517_765as_4th_nagoya,11,main,s_765as_1wqprrg,765as_miki;765as_takane,,false,,,,
20090517_765as_4th_nagoya,12,main,s_arcadia,765as_chihaya,,false,,,,
20090517_765as_4th_nagoya,13,main,s_nextlife,765as_hibiki,,false,,,,
20090517_765as_4th_nagoya,14,main,s_765as_0z1h8sy,765as_chihaya,,false,,,,
20090517_765as_4th_nagoya,15,main,s_765as_04w95th,765as_hibiki,,false,,,,
20090517_765as_4th_nagoya,16,main,s_dodai,765as_chihaya;765as_hibiki,,false,,,,
20090517_765as_4th_nagoya,17,main,s_961_0sw6nh9,765as_haruka;765as_chihaya;765as_yayoi,,false,,,,
20090517_765as_4th_nagoya,18,main,s_colorfuldays,765as_miki;765as_takane;765as_hibiki,,false,,,,
20090517_765as_4th_nagoya,201,encore,s_lobm,765as_haruka;765as_chihaya;765as_yayoi;765as_miki;765as_takane;765as_hibiki,,false,,,,
20090524_765as_4th_fukuoka,1,main,s_theidolmster,765as_miki;765as_ami;765as_ritsuko;765as_hibiki;765as_mami,,false,,,,
20090524_765as_4th_fukuoka,2,main,s_alright,765as_mami,,false,,,,
20090524_765as_4th_fukuoka,3,main,s_765as_1ygb16r,765as_ami,,false,,,,
20090524_765as_4th_fukuoka,4,main,s_765as_0cs3uhv,765as_miki,,false,,,,
20090524_765as_4th_fukuoka,5,main,s_765as_01mbphu,765as_miki,,false,,,,
20090524_765as_4th_fukuoka,6,main,s_kosmoscosmos,765as_mami,,false,,,,
20090524_765as_4th_fukuoka,7,main,s_765as_12kw6vn,765as_ami,,false,,,,
20090524_765as_4th_fukuoka,8,main,s_765as_15l8a85,765as_ritsuko,,false,,,,
20090524_765as_4th_fukuoka,9,main,s_765as_04w95th,765as_hibiki,,false,,,,
20090524_765as_4th_fukuoka,10,main,s_live,765as_ritsuko,,false,,,,
20090524_765as_4th_fukuoka,11,main,s_nextlife,765as_hibiki,,false,,,,
20090524_765as_4th_fukuoka,12,main,s_765as_0g3r6tw,765as_ritsuko;765as_hibiki,,false,,,,
20090524_765as_4th_fukuoka,13,main,s_765as_cover_hurricane,765as_miki,,false,,,,
20090524_765as_4th_fukuoka,14,main,s_765as_cover_natsuzora,765as_ami,,false,,,,
20090524_765as_4th_fukuoka,15,main,s_765as_cover_sukinatte,765as_mami,,false,,,,
20090524_765as_4th_fukuoka,16,main,s_765as_cover_isthislove,765as_hibiki,,false,,,,
