song_id,title,title_kana,brand_id,unit_id,original_members,song_type,tags,release_date,source,verified,notes
s_gk_07xp7is,標,,gk,,,all,,2024-04-28,初星学園パンフレット,false,(初星学園校歌)
s_gk_06racjs,初,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,all,,2024-04-28,初星学園オープンキャンパス,false,(全体曲)初星学園
s_fightingmyway,Fighting My Way,,gk,,gk_saki,solo,,2024-05-01,YouTubeでフルMV公開,false,(ソロ)花海咲季
s_lunasaymaybe,Luna say maybe,,gk,,gk_temari,solo,,2024-05-02,YouTubeでフルMV公開,false,(ソロ)月村手毬
s_gk_0jxlulk,世界一可愛い私,,gk,,gk_kotone,solo,,2024-05-03,YouTubeでフルMV公開,false,(ソロ)藤田ことね
s_clumsytrick,clumsy trick,,gk,,gk_rinami,solo,,2024-05-04,YouTubeでフルMV公開,false,(ソロ)姫崎莉波
s_tamelieonestep,Tame-Lie-One-Step,,gk,,gk_sumika,solo,,2024-05-05,YouTubeでフルMV公開,false,(ソロ)紫雲清夏
s_gk_1es1efl,光景,,gk,,gk_hiro,solo,,2024-05-06,YouTubeでフルMV公開,false,(ソロ)篠澤広
s_gk_1cm2lpy,白線,,gk,,gk_lilja,solo,,2024-05-07,YouTubeでフルMV公開,false,(ソロ)葛城リーリヤ
s_wonderscale,Wonder Scale,,gk,,gk_china,solo,,2024-05-08,YouTubeでフルMV公開,false,(ソロ)倉本千奈
s_fluorite,Fluorite,,gk,,gk_mao,solo,,2024-05-09,YouTubeでフルMV公開,false,(ソロ)有村麻央
s_campusmode,Campus mode!!,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,all,,2024-05-16,学園アイドルマスター,false,(全体曲)初星学園
s_gk_0oco4gj,アイヴイ,,gk,,gk_temari,solo,,2024-05-18,Apple Musicで先行配信,false,(ソロ)月村手毬
s_therollingriceball,The Rolling Riceball,,gk,,gk_ume,solo,,2024-06-01,配信／学マスに実装,false,(ソロ)花海佑芽
s_gk_1q4t7sp,叶えたい、ことばかり,,gk,,gk_temari,solo,,2024-06-03,YouTubeでビデオ公開,false,(ソロ)月村手毬
s_yellowbigbang,Yellow Big Bang！,,gk,,gk_kotone,solo,,2024-06-10,先行配信／学マスに実装,false,(ソロ)藤田ことね
s_boomboompow,Boom Boom Pow,,gk,,gk_saki,solo,,2024-06-19,学園アイドルマスター実装,false,(ソロ)花海咲季
s_gk_1b85fiq,キミとセミブルー,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2024-07-01,学園アイドルマスター実装,false,(シーズン曲)初星学園
s_gk_1twt0hd,コントラスト,,gk,,gk_hiro,solo,,2024-07-22,学園アイドルマスター実装,false,(ソロ)篠澤広
s_wakeup,Wake up!!,,gk,,gk_lilja,solo,,2024-07-24,YouTubeでビデオ公開,false,(ソロ)葛城リーリヤ
s_gk_0xwptnz,冠菊,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2024-08-01,学園アイドルマスター実装,false,(シーズン曲)初星学園
s_gk_00zfn04,憧れをいっぱい,,gk,,gk_china,solo,,2024-08-01,YouTubeでMV公開,false,(ソロ)倉本千奈
s_gk_1l30awb,がむしゃらに行こう！,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2024-08-09,配信,false,(初ツアー曲)初星学園
s_ego,EGO,,gk,,gk_saki,solo,,2024-08-10,初声公演 名古屋,false,(ソロ)花海咲季
s_howlingovertheworld,Howling over the World,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2024-08-16,配信,false,(初ツアー曲)初星学園
s_unhappylight,Unhappy Light,,gk,,gk_temari,solo,,2024-08-18,初声公演 梅田昼,false,(ソロ)月村手毬
s_gk_0321ecl,ふわふわ,,gk,,gk_kotone,solo,,2024-08-18,初声公演 梅田夜,false,(ソロ)藤田ことね
s_gk_1ys8mkt,日々、発見的ステップ！,,gk,,gk_china,solo,,2024-08-21,Apple Musicで先行配信,false,(ソロ)倉本千奈
s_gk_019m885,ミラクルナナウ(ﾟ∀ﾟ)！,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2024-08-23,Apple Musicで先行配信,false,(初ツアー曲)初星学園
s_luv,L.U.V,,gk,,gk_rinami,solo,,2024-09-07,初心公演 名古屋昼,false,(ソロ)姫崎莉波
s_fragileheart,Fragile Heart,,gk,,gk_lilja,solo,,2024-09-07,初心公演 名古屋昼,false,(ソロ)葛城リーリヤ
s_gk_0dervot,ときめきのソルフェージュ,,gk,,gk_china,solo,,2024-09-07,初心公演 名古屋夜,false,(ソロ)倉本千奈
s_feeljeweldream,Feel Jewel Dream,,gk,,gk_mao,solo,,2024-09-20,学園アイドルマスター実装,false,(ソロ)有村麻央
s_gk_041n8oo,歌声は君いろ,,gk,,gk_rinami,solo,,2024-09-23,初心公演 広島夜,false,(ソロ)姫崎莉波
s_gk_0494tmm,仮装狂騒曲,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2024-09-29,Apple Musicで先行配信,false,(シーズン曲)初星学園
s_gk_0tpgw98,カクシタワタシ,,gk,,gk_sumika,solo,,2024-10-14,初恋公演 梅田昼,false,(ソロ)紫雲清夏
s_topsecret,Top Secret,,gk,,gk_mao,solo,,2024-10-14,初恋公演 梅田昼,false,(ソロ)有村麻央
s_kirakira,Kira Kira,,gk,,gk_sumika,solo,,2024-10-14,初恋公演 梅田夜,false,(ソロ)紫雲清夏
s_gk_0alwjgm,コンテンポラリのダンス,,gk,,gk_hiro,solo,,2024-10-19,初恋公演 広島昼,false,(ソロ)篠澤広
s_gk_1fl5h5f,古今東西ちょちょいのちょい,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,collab;anime,2024-10-30,アニメイトコラボCD,false,(コラボ曲)初星学園
s_choochoochoo,Choo Choo Choo,,gk,,gk_sena,solo,,2024-11-10,YouTubeでビデオ公開,false,(ソロ)十王星南
s_rideonbeat,Ride on Beat,,gk,,gk_sumika,solo,,2024-11-11,YouTubeでビデオ公開,false,(ソロ)紫雲清夏
s_gk_1hptkz6,小さな野望,,gk,,gk_sena,solo,,2024-11-15,YouTubeでMV公開,false,(ソロ)十王星南
s_whitenightwhitewish,White Night! White Wish!,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2024-11-28,YouTubeでMV公開,false,(シーズン曲)初星学園
s_cosmetic,Cosmetic,,gk,,gk_sena,solo,,2024-12-07,YouTubeでビデオ公開,false,(ソロ)十王星南
s_gk_0z0bm51,メクルメ,,gk,,gk_hiro,solo,,2024-12-21,YouTubeでビデオ公開,false,(ソロ)篠澤広
s_sweetmagic,Sweet Magic,,gk,,gk_mao,solo,,2025-01-18,YouTubeでビデオ公開,false,(ソロ)有村麻央
s_gk_1fyqmn3,ハッピーミルフィーユ,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2025-02-01,学園アイドルマスター実装,false,(シーズン曲)初星学園
s_gk_1l3xc05,たいせつなもの,,gk,,gk_misuzu,solo,,2025-02-06,YouTubeでビデオ公開,false,(ソロ)秦谷美鈴
s_gk_0ryntbw,ツキノカメ,,gk,,gk_misuzu,solo,,2025-02-06,YouTubeでMV公開,false,(ソロ)秦谷美鈴
s_gk_0b0aelb,かちドキ,,gk,,gk_kotone,solo,,2025-02-07,ゴルラ1巻特装版,false,(ソロ)藤田ことね
s_endlessdance,ENDLESS DANCE,,gk,,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,unit,event,2025-02-08,配信,false,(初ツアー曲)初星学園
s_ourchant,Our Chant,,gk,,gk_sena,solo,,2025-02-08,初陣公演 名古屋昼,false,(ソロ)十王星南
