unit_id,name,name_kana,brand_id,member_idol_ids,color,unit_type,alias,verified,notes
u_hatsuboshi,初星学園,はつぼしがくえん,gk,gk_saki;gk_temari;gk_kotone;gk_mao;gk_lilja;gk_china;gk_sumika;gk_hiro;gk_rinami;gk_ume;gk_misuzu;gk_sena;gk_tsubame,,brand,学マス全体;初星,true,
u_gk_1_1,1年1組,いちねんいちくみ,gk,gk_saki;gk_sumika;gk_lilja;gk_kotone;gk_temari,,event,,true,クラス曲
u_gk_1_2,1年2組,いちねんにくみ,gk,gk_china;gk_ume;gk_misuzu;gk_hiro,,event,,true,クラス曲
u_gk_3_1,3年1組,さんねんいちくみ,gk,gk_mao;gk_rinami;gk_sena;gk_tsubame,,event,,true,クラス曲
u_gk_seitokai,初星学園生徒会,はつぼしがくえんせいとかい,gk,gk_sena;gk_tsubame;gk_misuzu,,event,生徒会執行部,true,
u_reiris,Re;IRIS,れいりす,gk,gk_temari;gk_saki;gk_kotone,,permanent,,true,
u_begrazia,Begrazia,べぐらつぃあ,gk,gk_misuzu;gk_sena;gk_ume,,permanent,,true,
u_yumepacy,ゆめぱしー,ゆめぱしー,gk,gk_china;gk_hiro,,permanent,,true,
u_ripplesign,RippleSign,りっぷるさいん,gk,gk_mao;gk_rinami,,permanent,,true,
u_reversi,REVERSI,りばーし,gk,gk_sumika;gk_lilja,,permanent,,true,
u_shinycolors,シャイニーカラーズ,しゃいにーからーず,sc,sc_mano;sc_hiori;sc_megumi;sc_kogane;sc_mamimi;sc_sakuya;sc_yuika;sc_kiriko;sc_kaho;sc_chiyoko;sc_juri;sc_rinze;sc_natsuha;sc_amana;sc_tenka;sc_chiyuki;sc_asahi;sc_fuyuko;sc_mei;sc_toru;sc_madoka;sc_koito;sc_hinana;sc_nichika;sc_mikoto;sc_luca;sc_hana;sc_haruki,,brand,283プロ;シャニ全体,true,
u_illumination,illumination STARS,いるみねーしょんすたーず,sc,sc_mano;sc_hiori;sc_megumi,#FFF68D,permanent,イルミネーションスターズ;イルミネ,true,
u_lantica,L'Antica,らんてぃーか,sc,sc_kogane;sc_mamimi;sc_sakuya;sc_yuika;sc_kiriko,#853998,permanent,アンティーカ,true,
